,conc_water,conc_co2,conc_nh3,r_1,g_1,b_1,r_4,g_4,b_4,r_23,g_23,b_23,r_145,g_145,b_145
500_200_1900_6,19.0,5,2,232.98297872340427,209.81418439716316,200.1106382978724,226.06991869918696,210.21626016260163,232.87479674796748,226.3045267489712,206.2181069958848,227.32098765432104,232.2017094017094,162.92820512820512,147.7196581196581
500_200_1900_7,19.0,5,2,232.1645390070922,209.81418439716316,200.4,226.0650406504065,210.58536585365852,232.85040650406503,226.79012345679016,206.1934156378601,228.4238683127572,232.11452991452992,163.2905982905983,147.54188034188033
500_200_1900_8,19.0,5,2,233.24680851063832,209.7063829787234,200.70921985815605,226.16260162601623,210.1869918699187,233.85040650406503,225.52674897119343,206.4814814814815,227.02880658436217,231.5623931623932,163.87863247863248,147.6957264957265
500_200_1900_9,19.0,5,2,233.3517730496454,209.10212765957448,201.2567375886525,226.35121951219512,210.64552845528456,232.87479674796748,226.0576131687243,206.1316872427984,227.51028806584364,231.73162393162397,163.66837606837606,148.2803418803419
2000_200_1900_0,19.0,20,2,234.6595744680851,208.58014184397163,200.7276595744681,226.39837398373984,210.36747967479675,233.70243902439023,228.3950617283951,207.01646090534985,227.79012345679016,239.32478632478632,171.63589743589745,141.0837606837607
2000_200_1900_1,19.0,20,2,234.42978723404255,208.68936170212768,200.26382978723404,226.3252032520325,210.25691056910568,233.9837398373984,227.9465020576132,206.50205761316877,227.46090534979425,238.64102564102564,172.0854700854701,141.5811965811966
2000_200_1900_2,19.0,20,2,235.33900709219856,209.63971631205675,200.36028368794328,226.9739837398374,210.0910569105691,234.45528455284557,227.9753086419753,207.4362139917696,227.55967078189303,238.39145299145295,171.81367521367522,141.66666666666666
2000_200_1900_3,19.0,20,2,235.31773049645392,209.63971631205675,200.5120567375887,226.3252032520325,211.0829268292683,234.34634146341463,228.06995884773664,206.81481481481484,227.71193415637865,238.9931623931624,171.46495726495726,141.0837606837607
2000_200_1900_4,19.0,20,2,234.81560283687944,208.890780141844,200.1489361702128,226.1869918699187,209.89268292682928,233.72357723577235,228.06172839506172,206.82304526748973,227.1934156378601,238.39145299145295,171.81367521367522,141.52649572649574
2000_200_1900_5,19.0,20,2,233.8794326241135,208.890780141844,200.1489361702128,226.47479674796747,210.25691056910568,233.9772357723577,227.49794238683128,206.51028806584364,228.3497942386832,237.89743589743588,171.85128205128206,140.63760683760682
2000_200_1900_6,19.0,20,2,234.42978723404255,208.79007092198583,200.11205673758863,226.47479674796747,210.3430894308943,233.62439024390244,227.83127572016463,206.82304526748973,228.11934156378604,238.64102564102564,171.9418803418803,141.46495726495726
2000_200_1900_7,19.0,20,2,233.8794326241135,208.70212765957447,200.7276595744681,226.71219512195125,210.10894308943088,234.45528455284557,228.06995884773664,206.81481481481484,228.11934156378604,238.7008547008547,171.64102564102564,141.5811965811966
2000_200_1900_8,19.0,20,2,234.6794326241135,209.090780141844,200.11205673758863,226.1869918699187,210.3430894308943,233.619512195122,229.11934156378604,206.85185185185188,227.79012345679016,238.9931623931624,171.9418803418803,141.66666666666666
2000_200_1900_9,19.0,20,2,234.42978723404255,209.63971631205675,200.668085106383,226.3252032520325,210.4520325203252,233.9772357723577,229.11934156378604,207.01646090534985,227.3703703703704,238.39145299145295,171.81367521367522,141.6854700854701
0_300_1900_0,19.0,0,3,236.7163120567376,211.7148936170213,198.8921985815603,226.6260162601626,210.5170731707317,230.90243902439025,227.05349794238683,206.37448559670784,226.42798353909467,224.7726495726496,148.808547008547,154.8803418803419
0_300_1900_1,19.0,0,3,236.981560283688,211.6595744680851,199.18014184397163,225.9235772357724,211.3121951219512,231.60162601626016,225.80658436213997,205.8559670781893,227.0658436213992,223.51282051282053,149.16752136752137,155.62564102564102
0_300_1900_2,19.0,0,3,235.6992907801419,211.43546099290785,198.73333333333332,227.70081300813007,210.69756097560972,231.5382113821138,225.32510288065845,206.1851851851852,227.50205761316877,223.43760683760684,149.81367521367522,154.8803418803419
0_300_1900_3,19.0,0,3,235.71063829787235,212.02978723404257,199.4581560283688,226.53658536585365,211.15934959349596,230.46341463414635,226.164609053498,205.90123456790124,226.42798353909467,223.217094017094,149.16752136752137,154.8102564102564
0_300_1900_4,19.0,0,3,235.71063829787235,211.63829787234044,198.8113475177305,226.9821138211382,210.7739837398374,230.25365853658536,227.05349794238683,206.3950617283951,226.42798353909467,223.84102564102565,150.35042735042734,154.74017094017094
0_300_1900_5,19.0,0,3,236.63829787234044,211.99007092198585,198.3234042553192,227.23739837398372,210.5609756097561,231.58211382113825,226.56790123456796,206.3374485596708,226.3868312757202,223.0991452991453,149.62905982905983,155.62564102564102
0_300_1900_6,19.0,0,3,235.6992907801419,211.47659574468088,198.8113475177305,225.9235772357724,211.15934959349596,230.7967479674797,225.10699588477368,205.99176954732516,227.2469135802469,223.0991452991453,150.35042735042734,154.74017094017094
0_300_1900_7,19.0,0,3,236.1617021276596,211.50921985815603,198.73333333333332,227.7170731707317,210.7739837398374,231.09756097560972,225.32510288065845,206.3374485596708,226.4897119341564,223.87692307692308,149.55384615384617,154.84786324786324
0_300_1900_8,19.0,0,3,236.84255319148937,211.3617021276596,198.9659574468085,227.70081300813007,210.90243902439025,231.60162601626016,226.8271604938272,205.8559670781893,227.15637860082307,223.43760683760684,149.62905982905983,154.84786324786324
0_300_1900_9,19.0,0,3,236.1078014184397,211.1645390070922,198.6212765957447,226.24065040650407,210.45040650406503,231.09756097560972,226.164609053498,205.69958847736623,227.0658436213992,224.33846153846156,147.74871794871794,154.9777777777778
1000_300_1900_0,19.0,10,3,238.43829787234043,211.54751773049648,199.95602836879436,225.5918699186992,210.32357723577235,232.48943089430892,228.6337448559671,206.68724279835396,228.1851851851852,231.6888888888889,160.5076923076923,145.96410256410255
1000_300_1900_1,19.0,10,3,237.24680851063832,211.94468085106385,200.63829787234044,225.5918699186992,210.4162601626016,233.6780487804878,227.2962962962963,207.6255144032922,226.44032921810705,232.0581196581197,160.6153846153846,146.90769230769232
1000_300_1900_2,19.0,10,3,237.33900709219856,211.67517730496456,200.63829787234044,226.2959349593496,210.91869918699183,233.9512195121951,227.2674897119342,207.7942386831276,227.93827160493828,232.0991452991453,160.48717948717947,146.808547008547
1000_300_1900_3,19.0,10,3,237.7163120567376,212.31347517730495,199.7631205673759,226.4048780487805,210.86666666666667,233.8731707317073,227.64609053497944,206.9835390946502,228.1769547325103,231.7692307692308,160.5162393162393,146.808547008547
1000_300_1900_4,19.0,10,3,237.80567375886525,211.66666666666669,199.97872340425533,225.8471544715447,210.38861788617885,232.48943089430892,226.72427983539097,207.18930041152265,227.99176954732516,232.0136752136752,160.7025641025641,146.65470085470085
1000_300_1900_5,19.0,10,3,237.24680851063832,211.79574468085107,200.63829787234044,226.24715447154472,210.5691056910569,233.8731707317073,228.36625514403292,207.65432098765436,227.48559670781896,231.6888888888889,160.48717948717947,147.2017094017094
1000_300_1900_6,19.0,10,3,238.43829787234043,211.22695035460995,199.95602836879436,226.079674796748,210.2829268292683,233.89430894308944,228.36625514403292,207.67078189300412,227.81481481481484,232.0136752136752,161.52991452991452,146.808547008547
1000_300_1900_7,19.0,10,3,238.43829787234043,211.22695035460995,200.0340425531915,226.06341463414637,210.4162601626016,233.89430894308944,228.2098765432099,207.6255144032922,227.75308641975312,230.7948717948718,161.04957264957264,146.68376068376068
1000_300_1900_8,19.0,10,3,237.7489361702128,211.85957446808516,199.7631205673759,226.0081300813008,210.91869918699183,232.48943089430892,228.09465020576133,206.68724279835396,228.48559670781896,232.0136752136752,160.86495726495727,146.97094017094017
1000_300_1900_9,19.0,10,3,237.78014184397165,211.79574468085107,199.7631205673759,226.06341463414637,210.14146341463416,233.260162601626,227.3292181069959,207.06995884773664,227.99176954732516,232.01880341880343,160.94017094017093,146.70427350427352
0_400_1900_0,19.0,0,4,238.9007092198582,212.6340425531915,198.7276595744681,226.7170731707317,210.6390243902439,230.2650406504065,227.0576131687243,206.1934156378601,225.49794238683128,220.7948717948718,143.3760683760684,157.36923076923077
0_400_1900_1,19.0,0,4,238.0184397163121,213.29219858156029,198.5418439716312,227.5430894308943,211.16585365853655,231.3479674796748,226.23045267489715,206.50205761316877,226.4732510288066,220.76410256410256,143.74188034188035,157.52307692307693
0_400_1900_2,19.0,0,4,238.3517730496454,213.1943262411348,198.6992907801419,227.930081300813,210.62926829268287,231.0260162601626,226.51028806584364,205.59670781893007,227.66666666666669,220.7948717948718,143.44444444444446,157.5145299145299
0_400_1900_3,19.0,0,4,238.51347517730497,213.377304964539,198.7049645390071,227.0829268292683,210.86341463414635,230.74308943089432,227.18106995884776,205.7283950617284,226.4732510288066,220.5059829059829,144.3111111111111,157.84615384615384
0_400_1900_4,19.0,0,4,238.9007092198582,212.85106382978725,197.98581560283688,227.46829268292683,210.619512195122,231.3121951219512,227.0576131687243,205.87242798353915,226.81893004115227,220.5059829059829,143.88717948717948,158.35213675213674
0_400_1900_5,19.0,0,4,238.0184397163121,212.6340425531915,197.98581560283688,227.930081300813,210.7756097560976,231.3479674796748,226.48559670781896,206.81893004115227,226.48559670781896,220.2923076923077,143.62735042735042,157.0017094017094
0_400_1900_6,19.0,0,4,238.51347517730497,213.2255319148936,198.690780141844,226.88943089430893,211.00325203252032,230.86666666666667,227.18106995884776,205.59670781893007,226.4732510288066,221.408547008547,143.88717948717948,157.92991452991453
0_400_1900_7,19.0,0,4,238.87517730496452,212.89645390070925,198.6992907801419,227.930081300813,210.9837398373984,230.46666666666667,227.14403292181072,206.50205761316877,226.15637860082307,221.16752136752137,143.6051282051282,157.55213675213676
0_400_1900_8,19.0,0,4,238.3517730496454,213.4439716312057,198.75886524822693,226.52032520325204,210.9837398373984,230.33333333333331,226.7942386831276,206.81893004115227,226.4732510288066,221.3880341880342,143.62735042735042,157.35042735042734
0_400_1900_9,19.0,0,4,239.3049645390071,213.53333333333336,198.6794326241135,226.539837398374,210.7560975609756,231.1138211382114,227.18106995884776,206.39917695473247,227.0576131687243,220.68034188034187,143.64786324786326,157.55213675213676
1500_400_1900_0,19.0,15,4,240.63829787234044,209.60283687943263,198.64964539007093,226.5414634146341,209.7674796747968,234.019512195122,227.4897119341564,205.9835390946502,227.2263374485597,234.13162393162392,158.68205128205128,145.58461538461538
1500_400_1900_1,19.0,15,4,241.06241134751772,209.60283687943263,197.95602836879436,226.5414634146341,209.7674796747968,233.3089430894309,227.26337448559676,205.761316872428,227.6378600823045,233.68034188034187,158.4068376068376,145.34529914529915
1500_400_1900_2,19.0,15,4,241.48652482269503,209.777304964539,198.31773049645392,226.130081300813,209.88455284552845,233.2032520325203,228.522633744856,205.97119341563788,226.7860082304527,234.2034188034188,158.95726495726495,145.34529914529915
1500_400_1900_3,19.0,15,4,241.5943262411348,209.87517730496452,198.03829787234045,225.8048780487805,209.4048780487805,233.3089430894309,227.8683127572017,206.06995884773664,227.18930041152265,233.0991452991453,158.4923076923077,145.16410256410256
1500_400_1900_4,19.0,15,4,241.4695035460993,209.87517730496452,198.03829787234045,225.8048780487805,209.6991869918699,234.14471544715448,227.5761316872428,205.5514403292181,227.11111111111117,232.91965811965807,158.6119658119658,145.34529914529915
1500_400_1900_5,19.0,15,4,240.63829787234044,209.890780141844,198.5035460992908,225.8048780487805,210.0455284552845,233.87642276422764,228.53909465020575,205.93827160493828,227.1522633744856,233.68034188034187,158.86324786324786,144.95384615384614
1500_400_1900_6,19.0,15,4,240.7531914893617,209.777304964539,198.96737588652485,225.87642276422764,209.5382113821138,233.4813008130081,227.8683127572017,205.67901234567904,226.68312757201647,232.6581196581197,158.4068376068376,145.65470085470085
1500_400_1900_7,19.0,15,4,241.6695035460993,209.68794326241132,198.64964539007093,226.10731707317072,209.88455284552845,233.139837398374,228.2098765432099,206.80246913580248,227.1522633744856,234.217094017094,158.55384615384617,144.98119658119657
1500_400_1900_8,19.0,15,4,241.06241134751772,209.87517730496452,198.5035460992908,226.4373983739837,209.7040650406504,233.91382113821135,227.67078189300412,205.68312757201647,227.1522633744856,232.6581196581197,158.6119658119658,145.33333333333334
1500_400_1900_9,19.0,15,4,240.63829787234044,209.60283687943263,198.1106382978724,225.86341463414635,210.01626016260164,233.87642276422764,228.5843621399177,205.4814814814815,227.6378600823045,233.0991452991453,158.42905982905984,145.58461538461538
500_500_1900_0,19.0,5,5,241.49645390070924,213.6070921985816,199.845390070922,226.63252032520325,210.2894308943089,233.09430894308943,229.55967078189303,207.7695473251029,227.30864197530863,225.93846153846152,151.04273504273505,152.3948717948718
500_500_1900_1,19.0,5,5,241.49645390070924,214.06382978723408,200.26099290780144,226.63252032520325,210.5219512195122,233.88943089430893,229.39094650205763,207.9794238683128,228.02057613168725,226.51111111111112,151.1179487179487,152.2940170940171
500_500_1900_2,19.0,5,5,242.2198581560284,213.47234042553197,199.71063829787235,226.6,210.8292682926829,233.88943089430893,229.01646090534985,207.70370370370367,227.30864197530863,226.8068376068376,150.94017094017093,152.0974358974359
500_500_1900_3,19.0,5,5,242.4212765957447,214.06382978723408,199.71063829787235,226.6991869918699,210.5268292682927,233.62926829268287,228.32510288065845,208.39917695473247,227.1687242798354,225.93846153846152,151.77435897435896,152.05299145299145
500_500_1900_4,19.0,5,5,242.56028368794327,213.5120567375887,199.67659574468087,226.0910569105691,210.2894308943089,233.89756097560976,228.6255144032922,208.39917695473247,227.1687242798354,226.93846153846152,151.3042735042735,151.86837606837608
500_500_1900_5,19.0,5,5,241.49645390070924,213.47234042553197,200.16737588652484,226.63252032520325,210.2894308943089,233.33333333333331,228.6255144032922,207.79835390946505,227.4773662551441,226.87521367521367,151.33162393162394,152.2940170940171
